No.,d,g_y,d_pixel,
1179,2.5,319,566,
1180,2.5,320,503,
1181,2.5,319,510,
1182,2.4,322,500,
1183,2.8,320,557,
1184,2.4,320,495,
1185,2.6,319,498,
1186,2.5,320,504,
1187,2.6,319,507,
1188,2.5,320,505,
1189,2.5,320,511,
1190,2.5,320,507,
1191,2.5,319,503,
1192,2.7,320,531,
1193,2.5,320,510,
1194,2.5,320,496,
1195,2.6,320,519,
1196,2.5,320,523,
1197,2.6,320,509,
1198,2.4,319,507,
1199,2.4,320,499,
1200,2.7,324,542,
1201,2.6,320,508,
1202,2.5,319,506,
1203,2.3,320,488,
1204,2.6,319,511,
1205,2.4,320,485,
1206,2.7,320,510,
1207,2.6,319,512,
1208,2.6,319,530,
1209,2.4,319,494,
1210,2.4,319,495,
1211,2.5,319,512,
1212,2.6,320,519,
1213,2.4,319,492,
1214,2.7,320,529,
1215,2.5,319,488,
1216,2.7,319,529,
1217,2.4,319,488,
1218,2.6,320,519,
1219,2.3,320,478,
1220,2.6,320,511,
1221,2.8,319,545,
1222,2.5,320,498,
1223,2.6,319,524,
1224,2.8,319,548,
1225,2.4,320,474,
1226,2.6,319,523,
1227,2.4,320,499,
1228,2.5,319,499,
1229,2.4,320,494,
1230,2.5,320,511,
1231,2.5,319,508,
1232,2.5,319,577,
1233,2.5,320,532,
1234,2.6,320,527,
1235,2.6,320,525,
1236,2.6,320,514,
1237,2.6,320,524,
1238,2.6,319,523,
1239,2.4,321,480,
1240,2.6,320,498,
1241,2.6,321,508,
1242,2.6,320,520,
1243,2.5,320,564,
1244,2.7,319,530,
1245,2.6,319,509,
1247,2.8,319,553,
1248,2.7,320,538,
1249,2.5,319,498,
1250,2.5,320,503,
1251,2.5,319,495,
1252,2.5,320,493,
1253,2.5,320,514,
1254,2.5,320,505,
1255,2.5,318,495,
1256,2.4,332,484,
1257,2.7,319,523,
1258,2.7,320,519,
1259,2.4,318,498,
1260,2.8,319,543,
1261,2.5,320,518,
1262,2.4,319,500,
1263,2.4,320,480,
1264,2.6,319,512,
1265,2.5,319,500,
1267,2.5,320,507,
1268,2.4,320,524,
1269,2.3,320,470,
1270,2.5,320,513,
1271,2.6,320,527,
1272,2.6,319,513,
1273,2.4,319,496,
1274,2.7,320,528,
1275,2.5,320,500,
1276,2.5,319,515,
1277,2.8,320,535,
1278,2.6,320,516,
1279,2.7,320,528,
1280,2.6,320,557,
1281,2.5,320,510,
1282,2.6,319,510,
1283,2.4,320,497,
1284,2.6,320,518,
1285,2.8,323,559,
1287,2.6,321,518,
1288,2.5,320,509,
1289,2.4,320,504,
1290,2.4,320,490,
1291,2.6,320,523,
1292,2.6,320,549,
1293,2.6,320,509,
1294,2.5,320,507,
1295,2.4,320,486,
1296,2.5,320,512,
1297,2.5,319,518,
1298,2.4,320,497,
1299,2.5,320,520,
